dtype,method,repeat,size,block_size,input_scale,scaled_result,result,fp64_reference,reference_basis,absolute_error,relative_error,elapsed_ms,status,reason
float32,random,10,4096,,0.0067644241528043705,1879.378173828125,277832.69224017824,277832.45838248613,dtype_quantized_input,0.23385769210290164,8.417219984461091e-07,3.227166991564445,ok,
float32,fixed_tree,1,4096,,0.0067644241528043705,1879.37646484375,277832.4395971836,277832.45838248613,dtype_quantized_input,0.01878530252724886,6.761377931367374e-08,0.030957991839386523,ok,
float32,fixed_tree,2,4096,,0.0067644241528043705,1879.37646484375,277832.4395971836,277832.45838248613,dtype_quantized_input,0.01878530252724886,6.761377931367374e-08,0.02112500078510493,ok,
float32,fixed_tree,3,4096,,0.0067644241528043705,1879.37646484375,277832.4395971836,277832.45838248613,dtype_quantized_input,0.01878530252724886,6.761377931367374e-08,0.02079200930893421,ok,
float32,fixed_tree,4,4096,,0.0067644241528043705,1879.37646484375,277832.4395971836,277832.45838248613,dtype_quantized_input,0.01878530252724886,6.761377931367374e-08,0.01983299443963915,ok,
float32,fixed_tree,5,4096,,0.0067644241528043705,1879.37646484375,277832.4395971836,277832.45838248613,dtype_quantized_input,0.01878530252724886,6.761377931367374e-08,0.019708008039742708,ok,
float32,fixed_tree,6,4096,,0.0067644241528043705,1879.37646484375,277832.4395971836,277832.45838248613,dtype_quantized_input,0.01878530252724886,6.761377931367374e-08,0.01925000105984509,ok,
float32,fixed_tree,7,4096,,0.0067644241528043705,1879.37646484375,277832.4395971836,277832.45838248613,dtype_quantized_input,0.01878530252724886,6.761377931367374e-08,0.019334009266458452,ok,
float32,fixed_tree,8,4096,,0.0067644241528043705,1879.37646484375,277832.4395971836,277832.45838248613,dtype_quantized_input,0.01878530252724886,6.761377931367374e-08,0.019500002963468432,ok,
float32,fixed_tree,9,4096,,0.0067644241528043705,1879.37646484375,277832.4395971836,277832.45838248613,dtype_quantized_input,0.01878530252724886,6.761377931367374e-08,0.019334009266458452,ok,
float32,fixed_tree,10,4096,,0.0067644241528043705,1879.37646484375,277832.4395971836,277832.45838248613,dtype_quantized_input,0.01878530252724886,6.761377931367374e-08,0.019332990632392466,ok,
